companyInformed1dayBefore,settlementTime>24hrs,shipOutOfNoGoArea,windSpeed<5,seaHeight<5,OdmeSelfTest,OdmeZeroCalibration,resetTotalOilLimit,oilTypeEntry,irodc(ltr),maxPpm<1000,tqod<1/30000ofTotalCargo,initial-currentHeading<90,speed(NM)>3,timeToDarkness<operation time,timeToNoGoArea<operation time,decision
yes,42,yes,3,3,yes,yes,yes,yes,27,462,yes,89,4,yes,yes,
yes,34,yes,5,0,yes,yes,yes,yes,12,983,yes,89,17,yes,yes,
yes,142,yes,3,2,yes,yes,yes,yes,28,48,yes,89,11,yes,yes,
yes,6,yes,5,4,yes,yes,yes,yes,25,381,yes,89,15,yes,yes,
yes,505,yes,0,2,yes,yes,yes,yes,20,661,yes,89,6,yes,yes,
yes,34,yes,3,0,yes,yes,yes,yes,29,205,yes,89,4,yes,yes,
yes,200,yes,4,4,yes,yes,yes,yes,25,210,yes,89,12,yes,yes,
yes,65,yes,5,0,yes,yes,yes,yes,25,370,yes,89,10,yes,yes,
yes,20,yes,1,5,yes,yes,yes,yes,15,671,yes,89,5,yes,yes,
yes,28,yes,4,4,yes,yes,yes,yes,22,421,yes,89,12,yes,yes,
yes,168,yes,5,0,yes,yes,yes,yes,12,933,yes,89,6,yes,yes,
yes,15,yes,0,1,yes,yes,yes,yes,12,689,yes,89,2,yes,yes,
yes,18,yes,5,3,yes,yes,yes,yes,12,255,yes,89,0,yes,yes,
yes,48,yes,2,5,yes,yes,yes,yes,12,49,yes,89,8,yes,yes,
yes,12,yes,0,3,yes,yes,yes,yes,25,544,yes,89,20,yes,yes,
yes,1,yes,3,5,yes,yes,yes,yes,25,911,yes,89,19,yes,yes,
yes,10,yes,0,2,yes,yes,yes,yes,22,950,yes,55,8,yes,yes,
yes,53,yes,5,5,yes,yes,yes,yes,22,728,yes,55,11,yes,yes,
yes,55,yes,2,2,yes,yes,yes,yes,22,337,yes,55,11,yes,yes,
yes,2,yes,2,0,yes,yes,yes,yes,22,16,yes,55,19,yes,yes,
yes,12,yes,1,4,yes,yes,yes,yes,22,532,yes,55,2,yes,yes,
yes,14,yes,1,1,yes,yes,yes,yes,22,100,yes,55,20,yes,yes,
yes,25,yes,2,3,yes,yes,yes,yes,25,937,yes,89,13,yes,yes,
yes,30,yes,1,3,yes,yes,yes,yes,25,739,yes,89,7,yes,yes,
yes,40,yes,4,5,yes,yes,yes,yes,22,272,yes,55,12,yes,yes,
yes,50,yes,0,4,yes,yes,yes,yes,22,299,yes,55,13,yes,yes,
yes,29,yes,1,0,yes,yes,yes,yes,22,140,yes,55,19,yes,yes,
